2026-05-15 11:13:42,电池是什么垃圾,"{'code': 200, 'msg': '成功', 'answer': '塑料瓶属于可回收物。'}"
2026-05-15 11:13:48,电池是什么垃圾,"{'code': 200, 'msg': '成功', 'answer': '塑料瓶属于可回收物。'}"
2026-05-15 11:46:49,易拉罐是什么垃圾,塑料瓶属于可回收物。
2026-05-15 11:46:53,易拉罐是什么垃圾,塑料瓶属于可回收物。
2026-05-22 10:30:32,塑料瓶是什么垃圾,"{'code': 200, 'msg': '成功', 'answer': '塑料瓶属于可回收物。'}"
2026-05-22 10:30:36,塑料瓶是什么垃圾,"{'code': 200, 'msg': '成功', 'answer': '塑料瓶属于可回收物。'}"
2026-05-22 11:09:33,"电池是什么垃圾
","{'code': 200, 'msg': '成功', 'answer': '电池属于有害垃圾。'}"
2026-05-22 11:09:37,"电池是什么垃圾
","{'code': 200, 'msg': '成功', 'answer': '电池属于有害垃圾。'}"
2026-05-22 11:09:54,"用过的卫生纸是什么垃圾
","{'code': 200, 'msg': '成功', 'answer': '用过的卫生纸属于其他垃圾。'}"
2026-05-22 11:10:19,"乱扔垃圾违法吗
","{'code': 200, 'msg': '成功', 'answer': '是的，乱扔垃圾违法。根据相关法律法规，随意丢弃垃圾属于违法行为，可能面临警告、罚款等处罚。具体规定因地区而异，建议遵守当地垃圾分类和环境卫生管理规定。'}"
2026-05-22 11:11:11,"流浪狗吃垃圾会对身体有害吗
","{'code': 200, 'msg': '成功', 'answer': '流浪狗吃垃圾可能对身体有害。垃圾中可能含有尖锐物品、有毒物质或变质食物，容易导致消化道损伤、中毒或感染，影响健康。建议避免让流浪动物接触垃圾，以保障其身体健康。'}"
2026-05-30 19:51:29,"电池是什么垃圾
",电池属于有害垃圾。
2026-05-30 20:28:17,"电扇是什么垃圾
",电扇属于**有害垃圾**。
2026-05-30 20:28:18,"电扇是什么垃圾
",电扇属于其他垃圾。
